customer_id,recency_days,frequency,monetary_value
14646,1,73,280206.02
18102,0,60,259657.3
17450,7,46,194550.79
16446,0,2,168472.5
14911,0,201,143825.06
12415,23,21,124914.53
14156,9,55,117379.63
17511,2,31,91062.38
16029,38,63,81024.84
12346,325,1,77183.6
16684,3,28,66653.56
14096,3,17,65164.79
13694,3,50,65039.62
15311,0,91,60767.9
13089,2,97,58825.83
17949,0,45,58510.48
15769,6,26,56252.72
15061,3,48,54534.14
14298,7,44,51527.3
14088,9,13,50491.81
15749,234,3,44534.3
12931,21,15,42055.96
17841,1,124,40991.57
15098,181,3,39916.5
13798,0,57,37153.85
16013,3,47,37130.6
16422,16,51,34684.4
12748,0,209,33719.73
15838,10,19,33643.08
17404,3,15,31906.82
17389,0,34,31833.68
13098,0,28,28882.44
14680,24,16,28754.11
13081,11,11,28337.38
13408,1,62,28117.04
17857,3,23,26879.04
16333,7,22,26626.8
13777,0,33,25977.16
12753,22,6,21429.39
12744,51,7,21279.29
16210,1,18,21086.3
17675,0,31,20374.28
17381,8,29,20275.61
15039,9,47,19914.44
12471,1,30,19824.05
12731,23,12,18895.91
15159,1,30,18641.01
12901,8,28,17654.54
12678,41,12,17628.46
14031,6,19,17286.86
